対象日付,コード,銘柄名,みなし額面,業種,セクター
"2021/02/19","7752","リコー","50円","電気機器","技術"
"2021/02/19","7762","シチズン時計","50円","精密機器","技術"
"2021/02/19","7832","バンダイナムコホールディングス","50円","その他製造","資本財・その他"
"2021/02/19","7911","凸版印刷","100円","その他製造","資本財・その他"
"2021/02/19","7912","大日本印刷","100円","その他製造","資本財・その他"
"2021/02/19","7951","ヤマハ","50円","その他製造","資本財・その他"
"2021/02/19","8001","伊藤忠商事","50円","商社","素材"
"2021/02/19","8002","丸紅","50円","商社","素材"
"2021/02/19","8015","豊田通商","50円","商社","素材"
"2021/02/19","8031","三井物産","50円","商社","素材"
"2021/02/19","8035","東京エレクトロン","50円","電気機器","技術"
"2021/02/19","8053","住友商事","50円","商社","素材"
"2021/02/19","8058","三菱商事","50円","商社","素材"
"2021/02/19","8233","高島屋","100円","小売業","消費"
"2021/02/19","8252","丸井グループ","50円","小売業","消費"
"2021/02/19","8253","クレディセゾン","50円","その他金融","金融"
"2021/02/19","8267","イオン","50円","小売業","消費"
"2021/02/19","8303","新生銀行","500円","銀行","金融"
"2021/02/19","8304","あおぞら銀行","500円","銀行","金融"
"2021/02/19","8306","三菱ＵＦＪフィナンシャル・グループ","50円","銀行","金融"
"2021/02/19","8308","りそなホールディングス","500円","銀行","金融"
"2021/02/19","8309","三井住友トラスト・ホールディングス","500円","銀行","金融"
"2021/02/19","8316","三井住友フィナンシャルグループ","500円","銀行","金融"
"2021/02/19","8331","千葉銀行","50円","銀行","金融"
"2021/02/19","8354","ふくおかフィナンシャルグループ","250円","銀行","金融"
"2021/02/19","8355","静岡銀行","50円","銀行","金融"
"2021/02/19","8411","みずほフィナンシャルグループ","500円","銀行","金融"
"2021/02/19","8601","大和証券グループ本社","50円","証券","金融"
"2021/02/19","8604","野村ホールディングス","50円","証券","金融"
"2021/02/19","8628","松井証券","50円","証券","金融"
"2021/02/19","8630","ＳＯＭＰＯホールディングス","200円","保険","金融"
"2021/02/19","8697","日本取引所グループ","50円","その他金融","金融"
"2021/02/19","8725","ＭＳ＆ＡＤインシュアランスグループホールディングス","500/3円","保険","金融"
"2021/02/19","8750","第一生命ホールディングス","500円","保険","金融"
"2021/02/19","8766","東京海上ホールディングス","100円","保険","金融"
"2021/02/19","8795","Ｔ＆Ｄホールディングス","250円","保険","金融"
"2021/02/19","8801","三井不動産","50円","不動産","資本財・その他"
"2021/02/19","8802","三菱地所","50円","不動産","資本財・その他"
"2021/02/19","8804","東京建物","100円","不動産","資本財・その他"
"2021/02/19","8830","住友不動産","50円","不動産","資本財・その他"
"2021/02/19","9001","東武鉄道","250円","鉄道・バス","運輸・公共"
"2021/02/19","9005","東急","100円","鉄道・バス","運輸・公共"
"2021/02/19","9007","小田急電鉄","100円","鉄道・バス","運輸・公共"
"2021/02/19","9008","京王電鉄","250円","鉄道・バス","運輸・公共"
"2021/02/19","9009","京成電鉄","100円","鉄道・バス","運輸・公共"
"2021/02/19","9020","東日本旅客鉄道","500円","鉄道・バス","運輸・公共"
"2021/02/19","9021","西日本旅客鉄道","500円","鉄道・バス","運輸・公共"
"2021/02/19","9022","東海旅客鉄道","500円","鉄道・バス","運輸・公共"
"2021/02/19","9062","日本通運","500円","陸運","運輸・公共"
"2021/02/19","9064","ヤマトホールディングス","50円","陸運","運輸・公共"
"2021/02/19","9101","日本郵船","500円","海運","運輸・公共"
"2021/02/19","9104","商船三井","500円","海運","運輸・公共"
"2021/02/19","9107","川崎汽船","500円","海運","運輸・公共"
"2021/02/19","9202","ＡＮＡホールディングス","500円","空運","運輸・公共"
"2021/02/19","9301","三菱倉庫","100円","倉庫","運輸・公共"
"2021/02/19","9412","スカパーＪＳＡＴホールディングス","500円","通信","技術"
"2021/02/19","9432","日本電信電話","125円","通信","技術"
"2021/02/19","9433","ＫＤＤＩ","25/3円","通信","技術"
"2021/02/19","9434","ソフトバンク","50円","通信","技術"
"2021/02/19","9501","東京電力ホールディングス","500円","電力","運輸・公共"
"2021/02/19","9502","中部電力","500円","電力","運輸・公共"
"2021/02/19","9503","関西電力","500円","電力","運輸・公共"
"2021/02/19","9531","東京瓦斯","250円","ガス","運輸・公共"
"2021/02/19","9532","大阪瓦斯","250円","ガス","運輸・公共"
"2021/02/19","9602","東宝","500円","サービス","消費"
"2021/02/19","9613","エヌ・ティ・ティ・データ","10円","通信","技術"
"2021/02/19","9735","セコム","50円","サービス","消費"
"2021/02/19","9766","コナミホールディングス","50円","サービス","消費"
"2021/02/19","9983","ファーストリテイリング","50円","小売業","消費"
"2021/02/19","9984","ソフトバンクグループ","25/3円","通信","技術"
"本資料は日経の著作物であり、本資料の全部又は一部を、いかなる形式によっても日経に無断で複写、複製、転載または流布することができません。対象日付は、各構成銘柄のみなし額面を指数算出に用いた当該日付。"
